[1681779240000, '29367.69000000', '29368.45000000', '29361.53000000', '29368.44000000', '2.76948100']
[1681779420000, '29368.44000000', '29368.44000000', '29364.16000000', '29364.17000000', '0.37670800']
[1681779600000, '29364.17000000', '29375.48000000', '29364.14000000', '29369.59000000', '6.80672800']
[1681779780000, '29369.58000000', '29377.59000000', '29364.93000000', '29364.94000000', '3.42268700']
[1681779960000, '29364.95000000', '29365.00000000', '29327.21000000', '29340.10000000', '9.86313100']
[1681780140000, '29340.10000000', '29342.21000000', '29208.47000000', '29276.34000000', '8.74126900']
[1681780320000, '29276.48000000', '29301.47000000', '29158.46000000', '29205.20000000', '13.53831700']
[1681780500000, '29205.20000000', '29246.03000000', '29108.42000000', '29236.55000000', '17.47590100']
[1681780680000, '29241.36000000', '29268.75000000', '29224.15000000', '29225.38000000', '15.19384100']
[1681780860000, '29230.00000000', '29268.81000000', '29218.97000000', '29222.34000000', '11.36474100']
[1681781040000, '29222.35000000', '29245.27000000', '29199.64000000', '29235.48000000', '14.60932700']
[1681781220000, '29233.21000000', '29287.34000000', '29224.81000000', '29280.32000000', '10.04184200']
[1681781400000, '29280.31000000', '29333.47000000', '29278.20000000', '29304.94000000', '11.47405500']
[1681781580000, '29304.94000000', '29336.81000000', '29303.72000000', '29328.47000000', '11.14855700']
[1681781760000, '29328.47000000', '29328.48000000', '29319.83000000', '29320.00000000', '5.75754700']
[1681781940000, '29327.37000000', '29370.69000000', '29327.37000000', '29368.00000000', '10.67467900']
[1681782120000, '29368.00000000', '29409.05000000', '29368.00000000', '29395.64000000', '9.49739400']
[1681782300000, '29395.78000000', '29396.14000000', '29373.69000000', '29373.69000000', '7.41707500']
[1681782480000, '29373.84000000', '29399.28000000', '29372.11000000', '29382.55000000', '7.71578300']
[1681782660000, '29382.55000000', '29389.00000000', '29373.22000000', '29389.00000000', '3.34053600']
[1681782840000, '29388.99000000', '29393.27000000', '29382.79000000', '29382.79000000', '4.33305300']
[1681783020000, '29382.79000000', '29384.56000000', '29372.69000000', '29373.52000000', '5.03824800']
[1681783200000, '29373.53000000', '29424.23000000', '29373.51000000', '29423.93000000', '10.34485700']
[1681783380000, '29423.93000000', '29436.50000000', '29401.53000000', '29401.53000000', '7.80551400']
[1681783560000, '29401.53000000', '29401.53000000', '29388.25000000', '29391.48000000', '6.64213100']
[1681783740000, '29391.05000000', '29391.05000000', '29378.60000000', '29389.45000000', '6.00870000']
[1681783920000, '29389.43000000', '29413.24000000', '29382.17000000', '29412.21000000', '6.39142900']
[1681784100000, '29413.24000000', '29431.39000000', '29405.76000000', '29431.39000000', '8.17706300']
[1681784280000, '29431.39000000', '29464.59000000', '29431.39000000', '29464.25000000', '9.50224000']
[1681784460000, '29464.25000000', '29468.96000000', '29444.41000000', '29450.01000000', '8.54856300']
[1681784640000, '29450.01000000', '29450.01000000', '29431.13000000', '29431.13000000', '4.82151400']
[1681784820000, '29431.14000000', '29434.99000000', '29428.77000000', '29428.86000000', '3.94348900']
[1681785000000, '29428.77000000', '29450.81000000', '29426.71000000', '29440.12000000', '6.29312400']
[1681785180000, '29440.11000000', '29454.06000000', '29440.00000000', '29454.06000000', '3.05260500']
[1681785360000, '29454.05000000', '29475.19000000', '29454.05000000', '29464.79000000', '9.64169700']
[1681785540000, '29464.80000000', '29469.14000000', '29453.01000000', '29461.72000000', '4.49820000']
[1681785720000, '29461.72000000', '29471.08000000', '29459.09000000', '29471.08000000', '3.98233500']
[1681785900000, '29471.07000000', '29474.13000000', '29460.98000000', '29474.13000000', '4.94738300']
[1681786080000, '29474.06000000', '29477.58000000', '29460.04000000', '29462.91000000', '5.77976700']
[1681786260000, '29462.91000000', '29465.70000000', '29462.84000000', '29464.81000000', '2.41422400']
[1681786440000, '29464.81000000', '29485.77000000', '29464.70000000', '29484.63000000', '6.91498000']
[1681786620000, '29484.63000000', '29487.21000000', '29457.77000000', '29464.99000000', '5.86183800']
[1681786800000, '29465.84000000', '29471.88000000', '29459.13000000', '29459.35000000', '6.77667000']
[1681786980000, '29459.34000000', '29464.69000000', '29456.57000000', '29464.69000000', '3.36697900']
[1681787160000, '29464.69000000', '29469.92000000', '29464.00000000', '29469.80000000', '2.97384200']
[1681787340000, '29469.80000000', '29481.56000000', '29469.42000000', '29481.55000000', '4.68522400']
[1681787520000, '29481.55000000', '29485.07000000', '29472.78000000', '29482.69000000', '8.64259700']
[1681787700000, '29485.06000000', '29486.75000000', '29464.17000000', '29477.79000000', '5.95853300']
[1681787880000, '29477.55000000', '29477.89000000', '29463.80000000', '29463.82000000', '6.14125000']
[1681788060000, '29463.82000000', '29473.00000000', '29460.25000000', '29473.00000000', '2.56596700']
[1681788240000, '29472.99000000', '29472.99000000', '29457.74000000', '29457.74000000', '4.43589800']
[1681788420000, '29457.74000000', '29458.91000000', '29446.41000000', '29453.42000000', '4.74163300']
[1681788600000, '29453.42000000', '29462.21000000', '29453.28000000', '29462.21000000', '4.24148400']
[1681788780000, '29461.97000000', '29465.79000000', '29457.18000000', '29457.18000000', '4.72573900']
[1681788960000, '29457.06000000', '29457.12000000', '29453.30000000', '29454.53000000', '2.45129600']
[1681789140000, '29454.62000000', '29471.68000000', '29454.62000000', '29471.68000000', '4.62533500']
[1681789320000, '29471.49000000', '29479.05000000', '29471.41000000', '29479.02000000', '4.68136500']
[1681789500000, '29479.01000000', '29479.44000000', '29471.49000000', '29474.58000000', '3.89174600']
[1681789680000, '29474.58000000', '29474.98000000', '29463.55000000', '29465.28000000', '5.66429000']
[1681789860000, '29465.28000000', '29466.18000000', '29448.37000000', '29448.38000000', '4.76218500']
[1681790040000, '29448.38000000', '29457.15000000', '29442.54000000', '29451.52000000', '7.47223300']
[1681790220000, '29451.52000000', '29451.53000000', '29446.62000000', '29447.00000000', '1.70641900']
[1681790400000, '29446.95000000', '29452.85000000', '29444.98000000', '29447.74000000', '3.07197200']
[1681790580000, '29447.74000000', '29447.82000000', '29444.01000000', '29444.01000000', '2.01899000']
[1681790760000, '29444.02000000', '29444.06000000', '29442.56000000', '29442.57000000', '1.46707500']
[1681790940000, '29442.56000000', '29451.31000000', '29442.52000000', '29447.74000000', '4.13015400']
